Date,BitcoinPrice,MarketCap,TradeVol,BlockSizeTot,BlockSizeAvg,BlockTransAvg,BlockConTime,Hashrate,Difficulty,MineRev,TransFee,CostTransVol,CostPerTrans,UniAddress,TransPerDay,TransTot,TransExPop,TransExLong,OutValue,TransValue
18/03/2017,952.2323625,15295539370,167014110.8,107169.5065,0.942046318,1678.535032,10.43333333,3712647.139,4.76E+11,1983179.8,217.0577053,0.572618795,7.797544889,505650,263530,206118122,258496,183501,2599334.281,380629.7881
19/03/2017,1029.800813,16629604629,94921242.91,107317.1989,0.889713331,1633.96988,8.616666667,3925474.045,4.76E+11,2267078.8,213.2468154,0.931147935,8.646338325,512175,271239,206389361,266278,185919,6359489.426,245744.7124
20/03/2017,1049.084488,16908833575,58718869.96,107450.1236,0.977387353,2037.007353,11.95,3216051.025,4.76E+11,1948540,241.1578771,0.668188486,7.301247534,512637,277033,206666394,272808,176246,3296575.01,290510.525
21/03/2017,1118.630043,18168435469,78169421.52,107589.5682,0.982003845,2028.556338,10.3,3357935.629,4.76E+11,2188622.5,248.6366135,0.668977729,7.864682747,541181,288055,206954449,283124,195500,6200927.722,302496.8582
22/03/2017,1028.726863,16558917210,97353030.8,107747.7189,0.982302839,1992.006211,13.3,3807236.875,4.76E+11,2248010.7,269.3121992,0.615497923,7.258529606,572753,320713,207275162,315238,206407,5359150.988,370726.2227
23/03/2017,1038.789,16770208990,47857364.16,107890.5521,0.965088912,1945.074324,10.95,3499820.233,4.76E+11,2076531,235.9980763,0.69092209,7.486146964,537474,287871,207563033,282350,183630,2379458.032,301915.0937
24/03/2017,941.9197143,15205794660,83342548.59,108043.6611,0.869937534,1645.005682,6.75,4161948.385,4.76E+11,2189770.8,231.5505018,0.578077403,7.86606222,540389,289521,207852554,283721,180849,3876256.754,420627.1495
25/03/2017,959.3400857,15551246387,104602038.4,108168.6711,0.939924932,1826.879699,9.55,3145108.723,4.76E+11,1696707.27,182.0076516,0.556281469,7.27084078,490876,242975,208095529,238389,166144,3359560.99,331578.1228
26/03/2017,956.7863125,15443296851,71646630.05,108281.0105,0.676743084,1336.837349,7.2,3925474.045,4.76E+11,2046573.52,154.6517743,0.939616627,9.555105035,468755,221915,208317444,217800,153470,1772687.273,237293.7761
27/03/2017,1037.22925,16789415978,79080569.24,108399.9359,0.900950258,1759.780303,19.425,3121461.289,4.76E+11,1848434.4,194.8437873,0.60726262,8.210389156,459507,232291,208549735,227049,153873,2337117.334,303796.6977
28/03/2017,1046.127625,16971709883,70342663.94,108552.7169,0.985683723,1896.780645,10.7,3665352.271,4.76E+11,2192722.65,233.2217636,0.530614189,7.714896109,553956,294001,208843736,288024,202688,2332205.311,409096.064
29/03/2017,1040.5755,16879296265,61677763.73,108687.0144,0.973170391,2057.471014,19.675,3263345.893,4.76E+11,1943117,212.9357972,0.751233894,7.09224807,534779,283931,209127667,278596,200692,1812147.843,257967.0342
30/03/2017,1037.90455,16896048000,65011056.27,108844.8726,0.962550098,1760.902439,12.2,4073274.033,4.83E+11,2262000,203.4044868,0.693251068,8.115090192,521047,288788,209416455,283301,189341,2164789.745,325048.8302
31/03/2017,1079.549314,17563966388,75018988.17,108974.5438,0.96052783,1921.503704,20.475,3352999.966,5.00E+11,1987418.5,217.2770069,0.449457359,7.937702897,489451,259403,209675858,253693,167372,3573848.964,423794.8204
01/04/2017,1086.929571,17720120644,40562346.19,109102.2083,0.967154985,1938.416667,21.175,3278488.856,5.00E+11,1942180.5,190.6426324,0.728672484,7.844659186,502790,255871,209931729,251056,182969,2859605.756,252602.1872
02/04/2017,1099.169125,17970922523,59295644.26,109232.4435,0.824273557,1545.588608,12.625,3924251.812,5.00E+11,2296746.6,180.7364057,0.853507251,9.761605375,501562,244203,210175932,239570,169289,4026308.736,252573.883
03/04/2017,1141.813,18556863561,90396475.17,109387.0221,0.878287341,1637.164773,8.183333333,4371318.475,5.00E+11,2669294.6,221.03919,0.783403253,9.592874472,564024,288141,210464073,282680,179599,4163240.214,309041.2479
04/04/2017,1141.600363,18537515610,67370298.18,109509.2548,0.977861424,2048.12,11.58333333,3104629.598,5.00E+11,1939250.2,200.3028451,0.587951462,7.852275705,496730,256015,210720088,251099,167982,2476603.498,299821.1518
05/04/2017,1133.079314,18469918530,58001639.01,109665.8858,0.966858444,1954.04321,20.625,4023599.96,5.00E+11,2485786.8,236.2986144,0.700988194,8.115687182,577216,316555,211036643,311013,209789,2295660.85,322587.2611
06/04/2017,1196.307938,19525598224,92291084.79,109809.6143,0.977744884,1975.952381,11.53333333,3651044.408,5.00E+11,2391592.35,221.7197691,0.66228035,8.513648876,548639,290465,211327108,284981,191713,2045375.195,310928.713
